DA_FIELD_APPLICATION_WELL_CODE,DA_FIELD_COMPLETION_DATE,DA_FIELD_COMPLETION_WELL_CODE,DA_FIELD_NUMBER,PARENT_STATUS_NUMBER
B,00000000,,49129150,0908508
B,00000000,,49129150,0908509
B,00000000,,49129150,0908446
O,00000000,,49133001,0908626
B,00000000,,49129858,0907804
O,00000000,,62417110,0907870
B,00000000,,71052900,0900440
B,00000000,,71052900,0900441
B,00000000,,71052900,0900442
B,00000000,,71052900,0900443
B,00000000,,71052900,0900444
B,00000000,,71052900,0900446
B,00000000,,71052900,0904667
B,00000000,,71052900,0904668
B,00000000,,71052900,0906827
B,00000000,,71052900,0904669
B,00000000,,71052900,0904670
B,00000000,,71052900,0904671
B,00000000,,71052900,0904672
B,00000000,,71052900,0904673
B,00000000,,71052900,0904674
B,00000000,,71052900,0904675
B,00000000,,71052900,0904676
B,00000000,,65280200,0908412
B,00000000,,65280200,0908413
B,00000000,,65280200,0908414
G,00000000,,10574520,0485792
O,00000000,,65011050,0908628
O,00000000,,95431001,0908669
O,00000000,,95431001,0908671
O,00000000,,71823666,0907686
I,00000000,,12160600,0908411
I,00000000,,67899200,0907956
O,00000000,,67899200,0908873
I,00000000,,67899200,0908851
I,00000000,,67899200,0908897
