DA_FIELD_APPLICATION_WELL_CODE,DA_FIELD_COMPLETION_DATE,DA_FIELD_COMPLETION_WELL_CODE,DA_FIELD_NUMBER,PARENT_STATUS_NUMBER
O,00000000,,68101500,0906493
O,00000000,,68101001,0906496
O,00000000,,68101500,0906496
O,00000000,,68101001,0906497
O,00000000,,68101500,0906497
O,00000000,,33997700,0908474
O,00000000,,33997700,0908476
O,00000000,,33997700,0908317
O,00000000,,33997700,0908445
O,00000000,,33997700,0908831
B,00000000,,85280300,0908234
B,00000000,,85280300,0908235
B,00000000,,85280300,0908236
B,00000000,,85280300,0908237
B,00000000,,85280300,0908238
B,00000000,,85280300,0908239
B,00000000,,85280300,0908240
B,00000000,,85280300,0908241
B,00000000,,85280300,0908243
B,00000000,,85280300,0908245
B,00000000,,85280300,0908246
B,00000000,,85280300,0908247
B,00000000,,85280300,0908248
B,00000000,,85280300,0908249
B,00000000,,85280300,0908250
B,00000000,,85280300,0908251
B,00000000,,85280300,0908252
B,00000000,,85280300,0908253
B,00000000,,85280300,0908254
B,00000000,,27135700,0905167
B,00000000,,27135700,0908312
B,00000000,,27135700,0908313
B,00000000,,27135700,0908314
B,00000000,,27135700,0908021
B,00000000,,27135700,0908022
B,00000000,,27135700,0908023
B,00000000,,46951250,0908379
B,00000000,,46951500,0908379
O,00000000,,46951510,0908379
G,00000000,,28449284,0908830
B,00000000,,03862001,0907599
B,00000000,,95369890,0908019
B,00000000,,98563083,0907928
B,00000000,,66461275,0907351
G,00000000,,16032300,0907353
B,00000000,,54807200,0908781
G,00000000,,16032300,0907148
G,00000000,,16032300,0907149
G,00000000,,16032300,0908697
G,00000000,,16032300,0908698
G,00000000,,16032300,0908613
G,00000000,,16032300,0908613
C,00000000,,00014001,0907739
C,00000000,,00014001,0908758
C,00000000,,00014001,0908762
C,00000000,,00014001,0908763
B,00000000,,53878250,0908686
G,00000000,,27608305,0908132
C,00000000,,41444200,0907684
O,00000000,,91621001,0904369
S,00000000,,53411001,0908775
B,00000000,,85280300,0908683
B,00000000,,85280300,0907907
B,00000000,,85280300,0907918
B,00000000,,85280300,0908160
B,00000000,,85280300,0908162
B,00000000,,85280300,0908163
B,00000000,,85280300,0908427
B,00000000,,85280300,0908428
B,00000000,,85280300,0908429
B,00000000,,85280300,0908430
B,00000000,,85280300,0908449
B,00000000,,85280300,0908451
B,00000000,,85280300,0908452
B,00000000,,85280300,0908453
B,00000000,,85280300,0908468
B,00000000,,85280300,0908473
B,00000000,,85280300,0908421
B,00000000,,85280300,0908422
O,00000000,,85280300,0904255
O,00000000,,85280300,0904256
O,00000000,,85280300,0904258
O,00000000,,85280300,0904259
O,00000000,,85280300,0904261
B,20180523,O,85279200,0838591
B,00000000,,17508666,0908718
B,00000000,,45274001,0908718
O,00000000,,87223950,0908760
B,00000000,,17050500,0908015
B,00000000,,98851001,0908418
O,00000000,,63749250,0908709
B,00000000,,00006001,0905403
G,00000000,,17798590,0905403
B,00000000,,20254500,0905403
B,00000000,,20254550,0905403
B,00000000,,20254700,0905403
G,00000000,,20255700,0905403
B,00000000,,65783600,0905403
O,00000000,,65783675,0905403
I,00000000,,85195001,0908369
B,00000000,,00006001,0908488
O,00000000,,85195001,0907803
B,00000000,,01514001,0908782
G,00000000,,01514130,0908782
G,00000000,,01514140,0908782
G,00000000,,01514728,0908782
G,00000000,,01514754,0908782
G,00000000,,01514869,0908782
B,00000000,,01514910,0908782
G,00000000,,01514936,0908782
G,00000000,,01516500,0908782
G,00000000,,01516700,0908782
G,00000000,,01521332,0908782
O,00000000,,01521498,0908782
O,00000000,,01521664,0908782
G,00000000,,01521830,0908782
G,00000000,,01521850,0908782
O,00000000,,01521875,0908782
B,00000000,,27135750,0908684
B,00000000,,27135750,0908807
B,00000000,,27135750,0908647
B,00000000,,27135750,0908654
B,00000000,,27135750,0908288
B,00000000,,27135750,0908357
B,00000000,,27135750,0908354
B,00000000,,27135750,0904687
B,00000000,,27135750,0904689
B,00000000,,27135750,0908534
B,00000000,,27135750,0908536
B,00000000,,27135750,0908540
B,00000000,,27135750,0908541
B,00000000,,27135750,0908542
B,00000000,,27135750,0908544
B,00000000,,86950300,0908545
B,00000000,,86950300,0908546
B,00000000,,86950300,0908548
B,00000000,,86950600,0907967
B,00000000,,27135750,0907713
O,00000000,,27135750,0908524
O,00000000,,27135750,0908527
O,00000000,,27135750,0908528
O,00000000,,27135750,0908529
O,00000000,,27135750,0908530
O,00000000,,27135750,0908531
O,00000000,,27135750,0908523
O,00000000,,27135750,0908532
O,00000000,,27135750,0908533
O,00000000,,27135750,0908543
O,00000000,,27135750,0821668
O,00000000,,27135750,0821670
B,00000000,,86950600,0907818
B,00000000,,00020001,0908415
O,00000000,,05355380,0908415
O,00000000,,05355380,0908484
O,00000000,,05355380,0908485
B,00000000,,00020001,0908777
O,00000000,,83951375,0908777
O,00000000,,88337500,0908777
C,00000000,,00022001,0908764
C,00000000,,00022001,0908765
C,00000000,,00022001,0908769
C,00000000,,00022001,0908779
C,00000000,,00022001,0908780
B,00000000,,39744500,0906238
B,00000000,,39744500,0906241
B,00000000,,39744500,0906242
B,00000000,,27135750,0908868
B,00000000,,27135750,0908869
B,20250130,O,27135750,0903310
B,00000000,,27135750,0903929
B,00000000,,34733610,0904972
B,00000000,,34733610,0904978
B,00000000,,34733610,0907535
G,00000000,,05189550,0908489
G,00000000,,05189550,0906039
O,00000000,,83682500,0908569
B,00000000,,86950600,0908625
B,00000000,,86950600,0908624
B,00000000,,27135750,0908877
B,00000000,,27135750,0908878
B,00000000,,27135750,0908880
B,00000000,,27135750,0908835
B,00000000,,27135750,0908885
B,00000000,,27135750,0908685
B,00000000,,86950600,0908682
B,00000000,,27135750,0908619
O,00000000,,27135750,0876873
O,20221111,O,27135750,0882218
B,00000000,,27135750,0908666
B,00000000,,27135750,0908622
B,00000000,,27135750,0908840
B,00000000,,86950600,0908860
B,00000000,,86950600,0908891
B,20220919,O,27135750,0908383
O,00000000,,27135750,0880872
B,20220913,O,27135750,0908394
O,00000000,,27135750,0908285
B,00000000,,86950600,0908663
O,00000000,,27135750,0908703
G,00000000,,86950600,0908786
G,00000000,,86950600,0908788
B,00000000,,27135750,0908212
B,00000000,,71052900,0900116
B,00000000,,71052900,0908493
B,00000000,,71052900,0908494
B,00000000,,71052900,0908491
B,00000000,,71052900,0908492
B,00000000,,71052900,0908490
B,00000000,,80544500,0908141
B,00000000,,80544500,0908142
B,00000000,,80544500,0908144
B,00000000,,80544500,0908145
B,00000000,,71052900,0908614
B,00000000,,80544500,0907677
B,00000000,,80544500,0907678
B,00000000,,80544500,0907679
B,00000000,,80544500,0907680
B,00000000,,80544500,0907681
B,00000000,,80544500,0907682
B,00000000,,80544500,0907514
B,00000000,,80544500,0907517
B,00000000,,80544500,0907534
B,00000000,,80544500,0907513
B,00000000,,71052900,0908567
B,00000000,,71052900,0908568
O,00000000,,92100050,0908562
O,00000000,,92100050,0908564
O,00000000,,92100050,0908565
O,00000000,,92100050,0908566
O,00000000,,28019500,0908710
B,00000000,,71052900,0908395
B,00000000,,71052900,0908420
B,00000000,,71052900,0908405
B,00000000,,71052900,0908806
B,00000000,,71052900,0908809
B,00000000,,71052900,0898660
B,00000000,,71052900,0898662
B,00000000,,71052900,0898664
B,00000000,,71052900,0898663
B,00000000,,71052900,0898661
I,00000000,,63845001,0905619
G,00000000,,39744500,0748738
G,00000000,,39744500,0908221
B,00000000,,39744500,0908222
B,00000000,,39744500,0908223
B,00000000,,39744500,0908224
B,00000000,,39744500,0908225
B,00000000,,39744500,0908226
B,00000000,,27135700,0907955
B,00000000,,39744500,0908054
B,00000000,,39744500,0908062
G,00000000,,39744500,0908326
G,00000000,,39744500,0908330
G,00000000,,39744500,0908337
G,00000000,,39744500,0904063
I,20240815,I,23562001,0902232
I,00000000,,23562500,0902232
B,00000000,,85280300,0773527
B,00000000,,85280300,0773240
B,00000000,,85280300,0784595
B,00000000,,85280300,0784575
B,00000000,,85280300,0773178
B,00000000,,85280300,0906701
B,00000000,,85280300,0908603
B,00000000,,85280300,0908605
B,00000000,,85280300,0908606
B,00000000,,85280300,0908607
B,00000000,,85280300,0908610
B,00000000,,85280300,0908609
B,00000000,,85280300,0908611
B,00000000,,85280300,0908612
B,00000000,,85280300,0908720
B,00000000,,85280300,0908721
B,00000000,,85280300,0908722
B,00000000,,85280300,0908723
B,00000000,,85280300,0908724
B,00000000,,85280300,0908725
B,00000000,,85280300,0908726
B,00000000,,85280300,0908727
B,20241126,O,85280300,0898872
B,20241126,O,85280300,0898873
B,20241126,O,85280300,0898867
B,20241126,O,85280300,0898869
B,20241126,O,85280300,0898870
B,00000000,,85280300,0908879
B,00000000,,85280300,0908895
B,00000000,,85280300,0908893
B,00000000,,85280300,0908881
B,00000000,,85280300,0908883
B,00000000,,85280300,0908896
O,00000000,,85280300,0908072
B,00000000,,85280300,0908071
B,00000000,,85280300,0908073
B,00000000,,85280300,0908075
B,00000000,,85280300,0908074
B,00000000,,85280300,0908076
B,00000000,,85280300,0908077
B,00000000,,85280300,0908078
B,00000000,,85280300,0908079
B,00000000,,85280300,0907483
B,00000000,,85280300,0907484
B,00000000,,85280300,0907970
B,00000000,,85280300,0907971
I,20250522,I,85280300,0908458
B,00000000,,85280300,0907706
B,00000000,,85280300,0908371
B,00000000,,85280300,0908372
B,00000000,,85280300,0908370
B,00000000,,85280300,0908373
B,00000000,,85280300,0908374
B,00000000,,85280300,0908375
B,00000000,,85280300,0908376
B,00000000,,85280300,0908377
B,00000000,,85280300,0908378
B,00000000,,85280300,0905514
B,00000000,,85280300,0905524
B,00000000,,85280300,0905526
B,00000000,,85280300,0905527
B,00000000,,85280300,0905584
B,00000000,,85280300,0905665
B,00000000,,85280300,0905668
B,00000000,,85280300,0905672
B,00000000,,85280300,0905675
B,00000000,,85280300,0905710
B,00000000,,85280300,0905711
B,00000000,,85280300,0905712
B,00000000,,85280300,0906710
B,00000000,,85280300,0906711
B,00000000,,85280300,0906714
B,00000000,,85280300,0906716
B,00000000,,85280300,0906718
B,00000000,,85280300,0906720
B,00000000,,85280300,0906724
B,00000000,,85280300,0906726
B,00000000,,85280300,0907886
B,00000000,,85280300,0907888
B,00000000,,85280300,0907889
B,00000000,,85280300,0907891
B,00000000,,85279200,0907893
